area;perimeter;compactness;length;width;asymmetry-coeff;groove-length;variety
1526;1484;871;5763;3312;2221;522;1
1488;1457;8811;5554;3333;1018;4956;1
1429;1409;905;5291;3337;2699;4825;1
1384;1394;8955;5324;3379;2259;4805;1
1614;1499;9034;5658;3562;1355;5175;1
1438;1421;8951;5386;3312;2462;4956;1
1469;1449;8799;5563;3259;3586;5219;1
1411;141;8911;542;3302;27;5;1
1663;1546;8747;6053;3465;204;5877;1
1644;1525;888;5884;3505;1969;5533;1
1526;1485;8696;5714;3242;4543;5314;1
1403;1416;8796;5438;3201;1717;5001;1
1389;1402;888;5439;3199;3986;4738;1
1378;1406;8759;5479;3156;3136;4872;1
1374;1405;8744;5482;3114;2932;4825;1
1459;1428;8993;5351;3333;4185;4781;1
1399;1383;9183;5119;3383;5234;4781;1
1569;1475;9058;5527;3514;1599;5046;1
147;1421;9153;5205;3466;1767;4649;1
1272;1357;8686;5226;3049;4102;4914;1
1416;144;8584;5658;3129;3072;5176;1
1411;1426;8722;552;3168;2688;5219;1
1588;149;8988;5618;3507;7651;5091;1
1208;1323;8664;5099;2936;1415;4961;1
1501;1476;8657;5789;3245;1791;5001;1
1619;1516;8849;5833;3421;903;5307;1
1302;1376;8641;5395;3026;3373;4825;1
1274;1367;8564;5395;2956;2504;4869;1
1411;1418;882;5541;3221;2754;5038;1
1345;1402;8604;5516;3065;3531;5097;1
1316;1382;8662;5454;2975;8551;5056;1
1549;1494;8724;5757;3371;3412;5228;1
1409;1441;8529;5717;3186;392;5299;1
1394;1417;8728;5585;315;2124;5012;1
1505;1468;8779;5712;3328;2129;536;1
1612;15;9;5709;3485;227;5443;1
162;1527;8734;5826;3464;2823;5527;1
1708;1538;9079;5832;3683;2956;5484;1
148;1452;8823;5656;3288;3112;5309;1
1428;1417;8944;5397;3298;6685;5001;1
1354;1385;8871;5348;3156;2587;5178;1
135;1385;8852;5351;3158;2249;5176;1
1316;1355;9009;5138;3201;2461;4783;1
155;1486;882;5877;3396;4711;5528;1
1511;1454;8986;5579;3462;3128;518;1
138;1404;8794;5376;3155;156;4961;1
1536;1476;8861;5701;3393;1367;5132;1
1499;1456;8883;557;3377;2958;5175;1
1479;1452;8819;5545;3291;2704;5111;1
1486;1467;8676;5678;3258;2129;5351;1
1443;144;8751;5585;3272;3975;5144;1
1578;1491;8923;5674;3434;5593;5136;1
1449;1461;8538;5715;3113;4116;5396;1
1433;1428;8831;5504;3199;3328;5224;1
1452;146;8557;5741;3113;1481;5487;1
1503;1477;8658;5702;3212;1933;5439;1
1446;1435;8818;5388;3377;2802;5044;1
1492;1443;9006;5384;3412;1142;5088;1
1538;1477;8857;5662;3419;1999;5222;1
1211;1347;8392;5159;3032;1502;4519;1
1142;1286;8683;5008;285;27;4607;1
1123;1263;884;4902;2879;2269;4703;1
1236;1319;8923;5076;3042;322;4605;1
1322;1384;868;5395;307;4157;5088;1
1278;1357;8716;5262;3026;1176;4782;1
1288;135;8879;5139;3119;2352;4607;1
1434;1437;8726;563;319;1313;515;1
1401;1429;8625;5609;3158;2217;5132;1
1437;1439;8726;5569;3153;1464;53;1
1273;1375;8458;5412;2882;3533;5067;1
1763;1598;8673;6191;3561;4076;606;2
1684;1567;8623;5998;3484;4675;5877;2
1726;1573;8763;5978;3594;4539;5791;2
1911;1626;9081;6154;393;2936;6079;2
1682;1551;8786;6017;3486;4004;5841;2
1677;1562;8638;5927;3438;492;5795;2
1732;1591;8599;6064;3403;3824;5922;2
2071;1723;8763;6579;3814;4451;6451;2
1894;1649;875;6445;3639;5064;6362;2
1712;1555;8892;585;3566;2858;5746;2
1653;1534;8823;5875;3467;5532;588;2
1872;1619;8977;6006;3857;5324;5879;2
202;1689;8894;6285;3864;5173;6187;2
1957;1674;8779;6384;3772;1472;6273;2
1951;1671;878;6366;3801;2962;6185;2
1827;1609;887;6173;3651;2443;6197;2
1888;1626;8969;6084;3764;1649;6109;2
1898;1666;859;6549;367;3691;6498;2
2118;1721;8989;6573;4033;578;6231;2
2088;1705;9031;645;4032;5016;6321;2
201;1699;8746;6581;3785;1955;6449;2
1876;162;8984;6172;3796;312;6053;2
1881;1629;8906;6272;3693;3237;6053;2
1859;1605;9066;6037;386;6001;5877;2
1836;1652;8452;6666;3485;4933;6448;2
1687;1565;8648;6139;3463;3696;5967;2
1931;1659;8815;6341;381;3477;6238;2
1898;1657;8687;6449;3552;2144;6453;2
1817;1626;8637;6271;3512;2853;6273;2
1872;1634;881;6219;3684;2188;6097;2
1641;1525;8866;5718;3525;4217;5618;2
1799;1586;8992;589;3694;2068;5837;2
1946;165;8985;6113;3892;4308;6009;2
1918;1663;8717;6369;3681;3357;6229;2
1895;1642;8829;6248;3755;3368;6148;2
1883;1629;8917;6037;3786;2553;5879;2
1885;1617;9056;6152;3806;2843;62;2
1763;1586;88;6033;3573;3747;5929;2
1994;1692;8752;6675;3763;3252;655;2
1855;1622;8865;6153;3674;1738;5894;2
1845;1612;8921;6107;3769;2235;5794;2
1938;1672;8716;6303;3791;3678;5965;2
1913;1631;9035;6183;3902;2109;5924;2
1914;1661;8722;6259;3737;6682;6053;2
2097;1725;8859;6563;3991;4677;6316;2
1906;1645;8854;6416;3719;2248;6163;2
1896;162;9077;6051;3897;4334;575;2
1915;1645;889;6245;3815;3084;6185;2
1889;1623;9008;6227;3769;3639;5966;2
2003;169;8811;6493;3857;3063;632;2
2024;1691;8897;6315;3962;5901;6188;2
1814;1612;8772;6059;3563;3619;6011;2
1617;1538;8588;5762;3387;4286;5703;2
1843;1597;9077;598;3771;2984;5905;2
1599;1489;9064;5363;3582;3336;5144;2
1875;1618;8999;6111;3869;4188;5992;2
1865;1641;8698;6285;3594;4391;6102;2
1798;1585;8993;5979;3687;2257;5919;2
2016;1703;8735;6513;3773;191;6185;2
1755;1566;8991;5791;369;5366;5661;2
183;1589;9108;5979;3755;2837;5962;2
1894;1632;8942;6144;3825;2908;5949;2
1538;149;8706;5884;3268;4462;5795;2
1616;1533;8644;5845;3395;4266;5795;2
1556;1489;8823;5776;3408;4972;5847;2
1538;1466;899;5477;3465;36;5439;2
1736;1576;8785;6145;3574;3526;5971;2
1557;1515;8527;592;3231;264;5879;2
156;1511;858;5832;3286;2725;5752;2
1623;1518;885;5872;3472;3769;5922;2
1307;1392;848;5472;2994;5304;5395;3
1332;1394;8613;5541;3073;7035;544;3
1334;1395;862;5389;3074;5995;5307;3
1222;1332;8652;5224;2967;5469;5221;3
1182;134;8274;5314;2777;4471;5178;3
1121;1313;8167;5279;2687;6169;5275;3
1143;1313;8335;5176;2719;2221;5132;3
1249;1346;8658;5267;2967;4421;5002;3
127;1371;8491;5386;2911;326;5316;3
1079;1293;8107;5317;2648;5462;5194;3
1183;1323;8496;5263;284;5195;5307;3
1201;1352;8249;5405;2776;6992;527;3
1226;136;8333;5408;2833;4756;536;3
1118;1304;8266;522;2693;3332;5001;3
1136;1305;8382;5175;2755;4048;5263;3
1119;1305;8253;525;2675;5813;5219;3
1134;1287;8596;5053;2849;3347;5003;3
1213;1373;8081;5394;2745;4825;522;3
1175;1352;8082;5444;2678;4378;531;3
1149;1322;8263;5304;2695;5388;531;3
1254;1367;8425;5451;2879;3082;5491;3
1202;1333;8503;535;281;4271;5308;3
1205;1341;8416;5267;2847;4988;5046;3
1255;1357;8558;5333;2968;4419;5176;3
1114;1279;8558;5011;2794;6388;5049;3
121;1315;8793;5105;2941;2201;5056;3
1244;1359;8462;5319;2897;4924;527;3
1215;1345;8443;5417;2837;3638;5338;3
1135;1312;8291;5176;2668;4337;5132;3
1124;13;8359;509;2715;3521;5088;3
1102;13;8189;5325;2701;6735;5163;3
1155;131;8455;5167;2845;6715;4956;3
1127;1297;8419;5088;2763;4309;5;3
114;1308;8375;5136;2763;5588;5089;3
1083;1296;8099;5278;2641;5182;5185;3
108;1257;859;4981;2821;4773;5063;3
1126;1301;8355;5186;271;5335;5092;3
1074;1273;8329;5145;2642;4702;4963;3
1148;1305;8473;518;2758;5876;5002;3
1221;1347;8453;5357;2893;1661;5178;3
1141;1295;856;509;2775;4957;4825;3
1246;1341;8706;5236;3017;4987;5147;3
1219;1336;8579;524;2909;4857;5158;3
1165;1307;8575;5108;285;5209;5135;3
1289;1377;8541;5495;3026;6185;5316;3
1156;1331;8198;5363;2683;4062;5182;3
1181;1345;8198;5413;2716;4898;5352;3
1091;128;8372;5088;2675;4179;4956;3
1123;1282;8594;5089;2821;7524;4957;3
1059;1241;8648;4899;2787;4975;4794;3
1093;128;839;5046;2717;5398;5045;3
1127;1286;8563;5091;2804;3985;5001;3
1187;1302;8795;5132;2953;3597;5132;3
1082;1283;8256;518;263;4853;5089;3
1211;1327;8639;5236;2975;4132;5012;3
128;1347;886;516;3126;4873;4914;3
1279;1353;8786;5224;3054;5483;4958;3
1337;1378;8849;532;3128;467;5091;3
1262;1367;8481;541;2911;3306;5231;3
1276;1338;8964;5073;3155;2828;483;3
1238;1344;8609;5219;2989;5472;5045;3
1267;1332;8977;4984;3135;23;4745;3
1118;1272;868;5009;281;4051;4828;3
127;1341;8874;5183;3091;8456;5;3
1237;1347;8567;5204;296;3919;5001;3
1219;132;8783;5137;2981;3631;487;3
1123;1288;8511;514;2795;4325;5003;3
132;1366;8883;5236;3232;8315;5056;3
1184;1321;8521;5175;2836;3598;5044;3
123;1334;8684;5243;2974;5637;5063;3
