alcohol;malic-acid;ash;alcalinity-of-ash;magnesium;total-phenol;flavonoids;nonflavonoid-phenols;proanthocynains;color-intensity;hue;diluted-wines;proline;class
1423;1.71;243;156;127;2.8;3.06;.28;2.29;564;1.04;392;1065;1
132;1.78;214;112;100;2.65;2.76;.26;1.28;438;1.05;34;1050;1
1316;2.36;267;186;101;2.8;3.24;.3;2.81;568;1.03;317;1185;1
1437;1.95;25;168;113;3.85;3.49;.24;2.18;78;.86;345;1480;1
1324;2.59;287;21;118;2.8;2.69;.39;1.82;432;1.04;293;735;1
142;1.76;245;152;112;3.27;3.39;.34;1.97;675;1.05;285;1450;1
1439;1.87;245;146;96;2.5;2.52;.3;1.98;525;1.02;358;1290;1
1406;2.15;261;176;121;2.6;2.51;.31;1.25;505;1.06;358;1295;1
1483;1.64;217;14;97;2.8;2.98;.29;1.98;52;1.08;285;1045;1
1386;1.35;227;16;98;2.98;3.15;.22;1.85;722;1.01;355;1045;1
141;2.16;23;18;105;2.95;3.32;.22;2.38;575;1.25;317;1510;1
1412;1.48;232;168;95;2.2;2.43;.26;1.57;5;1.17;282;1280;1
1375;1.73;241;16;89;2.6;2.76;.29;1.81;56;1.15;29;1320;1
1475;1.73;239;114;91;3.1;3.69;.43;2.81;54;1.25;273;1150;1
1438;1.87;238;12;102;3.3;3.64;.29;2.96;75;1.2;3;1547;1
1363;1.81;27;172;112;2.85;2.91;.3;1.46;73;1.28;288;1310;1
143;1.92;272;20;120;2.8;3.14;.33;1.97;62;1.07;265;1280;1
1383;1.57;262;20;115;2.95;3.4;.4;1.72;66;1.13;257;1130;1
1419;1.59;248;165;108;3.3;3.93;.32;1.86;87;1.23;282;1680;1
1364;3.1;256;152;116;2.7;3.03;.17;1.66;51;.96;336;845;1
1406;1.63;228;16;126;3;3.17;.24;2.1;565;1.09;371;780;1
1293;3.8;265;186;102;2.41;2.41;.25;1.98;45;1.03;352;770;1
1371;1.86;236;166;101;2.61;2.88;.27;1.69;38;1.11;4;1035;1
1285;1.6;252;178;95;2.48;2.37;.26;1.46;393;1.09;363;1015;1
135;1.81;261;20;96;2.53;2.61;.28;1.66;352;1.12;382;845;1
1305;2.05;322;25;124;2.63;2.68;.47;1.92;358;1.13;32;830;1
1339;1.77;262;161;93;2.85;2.94;.34;1.45;48;.92;322;1195;1
133;1.72;214;17;94;2.4;2.19;.27;1.35;395;1.02;277;1285;1
1387;1.9;28;194;107;2.95;2.97;.37;1.76;45;1.25;34;915;1
1402;1.68;221;16;96;2.65;2.33;.26;1.98;47;1.04;359;1035;1
1373;1.5;27;225;101;3;3.25;.29;2.38;57;1.19;271;1285;1
1358;1.66;236;191;106;2.86;3.19;.22;1.95;69;1.09;288;1515;1
1368;1.83;236;172;104;2.42;2.69;.42;1.97;384;1.23;287;990;1
1376;1.53;27;195;132;2.95;2.74;.5;1.35;54;1.25;3;1235;1
1351;1.8;265;19;110;2.35;2.53;.29;1.54;42;1.1;287;1095;1
1348;1.81;241;205;100;2.7;2.98;.26;1.86;51;1.04;347;920;1
1328;1.64;284;155;110;2.6;2.68;.34;1.36;46;1.09;278;880;1
1305;1.65;255;18;98;2.45;2.43;.29;1.44;425;1.12;251;1105;1
1307;1.5;21;155;98;2.4;2.64;.28;1.37;37;1.18;269;1020;1
1422;3.99;251;132;128;3;3.04;.2;2.08;51;.89;353;760;1
1356;1.71;231;162;117;3.15;3.29;.34;2.34;613;.95;338;795;1
1341;3.84;212;188;90;2.45;2.68;.27;1.48;428;.91;3;1035;1
1388;1.89;259;15;101;3.25;3.56;.17;1.7;543;.88;356;1095;1
1324;3.98;229;175;103;2.64;2.63;.32;1.66;436;.82;3;680;1
1305;1.77;21;17;107;3;3;.28;2.03;504;.88;335;885;1
1421;4.04;244;189;111;2.85;2.65;.3;1.25;524;.87;333;1080;1
1438;3.59;228;16;102;3.25;3.17;.27;2.19;49;1.04;344;1065;1
139;1.68;212;16;101;3.1;3.39;.21;2.14;61;.91;333;985;1
141;2.02;24;188;103;2.75;2.92;.32;2.38;62;1.07;275;1060;1
1394;1.73;227;174;108;2.88;3.54;.32;2.08;890;1.12;31;1260;1
1305;1.73;204;124;92;2.72;3.27;.17;2.91;72;1.12;291;1150;1
1383;1.65;26;172;94;2.45;2.99;.22;2.29;56;1.24;337;1265;1
1382;1.75;242;14;111;3.88;3.74;.32;1.87;705;1.01;326;1190;1
1377;1.9;268;171;115;3;2.79;.39;1.68;63;1.13;293;1375;1
1374;1.67;225;164;118;2.6;2.9;.21;1.62;585;.92;32;1060;1
1356;1.73;246;205;116;2.96;2.78;.2;2.45;625;.98;303;1120;1
1422;1.7;23;163;118;3.2;3;.26;2.03;638;.94;331;970;1
1329;1.97;268;168;102;3;3.23;.31;1.66;6;1.07;284;1270;1
1372;1.43;25;167;108;3.4;3.67;.19;2.04;68;.89;287;1285;1
1237;.94;136;106;88;1.98;.57;.28;.42;195;1.05;182;520;2
1233;1.1;228;16;101;2.05;1.09;.63;.41;327;1.25;167;680;2
1264;1.36;202;168;100;2.02;1.41;.53;.62;575;.98;159;450;2
1367;1.25;192;18;94;2.1;1.79;.32;.73;38;1.23;246;630;2
1237;1.13;216;19;87;3.5;3.1;.19;1.87;445;1.22;287;420;2
1217;1.45;253;19;104;1.89;1.75;.45;1.03;295;1.45;223;355;2
1237;1.21;256;181;98;2.42;2.65;.37;2.08;46;1.19;23;678;2
1311;1.01;17;15;78;2.98;3.18;.26;2.28;53;1.12;318;502;2
1237;1.17;192;196;78;2.11;2;.27;1.04;468;1.12;348;510;2
1334;.94;236;17;110;2.53;1.3;.55;.42;317;1.02;193;750;2
1221;1.19;175;168;151;1.85;1.28;.14;2.5;285;1.28;307;718;2
1229;1.61;221;204;103;1.1;1.02;.37;1.46;305;.906;182;870;2
1386;1.51;267;25;86;2.95;2.86;.21;1.87;338;1.36;316;410;2
1349;1.66;224;24;87;1.88;1.84;.27;1.03;374;.98;278;472;2
1299;1.67;26;30;139;3.3;2.89;.21;1.96;335;1.31;35;985;2
1196;1.09;23;21;101;3.38;2.14;.13;1.65;321;.99;313;886;2
1166;1.88;192;16;97;1.61;1.57;.34;1.15;38;1.23;214;428;2
1303;.9;171;16;86;1.95;2.03;.24;1.46;46;1.19;248;392;2
1184;2.89;223;18;112;1.72;1.32;.43;.95;265;.96;252;500;2
1233;.99;195;148;136;1.9;1.85;.35;2.76;34;1.06;231;750;2
127;3.87;24;23;101;2.83;2.55;.43;1.95;257;1.19;313;463;2
12;.92;2;19;86;2.42;2.26;.3;1.43;25;1.38;312;278;2
1272;1.81;22;188;86;2.2;2.53;.26;1.77;39;1.16;314;714;2
1208;1.13;251;24;78;2;1.58;.4;1.4;22;1.31;272;630;2
1305;3.86;232;225;85;1.65;1.59;.61;1.62;48;.84;201;515;2
1184;.89;258;18;94;2.2;2.21;.22;2.35;305;.79;308;520;2
1267;.98;224;18;99;2.2;1.94;.3;1.46;262;1.23;316;450;2
1216;1.61;231;228;90;1.78;1.69;.43;1.56;245;1.33;226;495;2
1165;1.67;262;26;88;1.92;1.61;.4;1.34;26;1.36;321;562;2
1164;2.06;246;216;84;1.95;1.69;.48;1.35;28;1;275;680;2
1208;1.33;23;236;70;2.2;1.59;.42;1.38;174;1.07;321;625;2
1208;1.83;232;185;81;1.6;1.5;.52;1.64;24;1.08;227;480;2
12;1.51;242;22;86;1.45;1.25;.5;1.63;36;1.05;265;450;2
1269;1.53;226;207;80;1.38;1.46;.58;1.62;305;.96;206;495;2
1229;2.83;222;18;88;2.45;2.25;.25;1.99;215;1.15;33;290;2
1162;1.99;228;18;98;3.02;2.26;.17;1.35;325;1.16;296;345;2
1247;1.52;22;19;162;2.5;2.27;.32;3.28;26;1.16;263;937;2
1181;2.12;274;215;134;1.6;.99;.14;1.56;25;.95;226;625;2
1229;1.41;198;16;85;2.55;2.5;.29;1.77;29;1.23;274;428;2
1237;1.07;21;185;88;3.52;3.75;.24;1.95;45;1.04;277;660;2
1229;3.17;221;18;88;2.85;2.99;.45;2.81;23;1.42;283;406;2
1208;2.08;17;175;97;2.23;2.17;.26;1.4;33;1.27;296;710;2
126;1.34;19;185;88;1.45;1.36;.29;1.35;245;1.04;277;562;2
1234;2.45;246;21;98;2.56;2.11;.34;1.31;28;.8;338;438;2
1182;1.72;188;195;86;2.5;1.64;.37;1.42;206;.94;244;415;2
1251;1.73;198;205;85;2.2;1.92;.32;1.48;294;1.04;357;672;2
1242;2.55;227;22;90;1.68;1.84;.66;1.42;27;.86;33;315;2
1225;1.73;212;19;80;1.65;2.03;.37;1.63;34;1;317;510;2
1272;1.75;228;225;84;1.38;1.76;.48;1.63;33;.88;242;488;2
1222;1.29;194;19;92;2.36;2.04;.39;2.08;27;.86;302;312;2
1161;1.35;27;20;94;2.74;2.92;.29;2.49;265;.96;326;680;2
1146;3.74;182;195;107;3.18;2.58;.24;3.58;29;.75;281;562;2
1252;2.43;217;21;88;2.55;2.27;.26;1.22;2;.9;278;325;2
1176;2.68;292;20;103;1.75;2.03;.6;1.05;38;1.23;25;607;2
1141;.74;25;21;88;2.48;2.01;.42;1.44;308;1.1;231;434;2
1208;1.39;25;225;84;2.56;2.29;.43;1.04;29;.93;319;385;2
1103;1.51;22;215;85;2.46;2.17;.52;2.01;19;1.71;287;407;2
1182;1.47;199;208;86;1.98;1.6;.3;1.53;195;.95;333;495;2
1242;1.61;219;225;108;2;2.09;.34;1.61;206;1.06;296;345;2
1277;3.43;198;16;80;1.63;1.25;.43;.83;34;.7;212;372;2
12;3.43;2;19;87;2;1.64;.37;1.87;128;.93;305;564;2
1145;2.4;242;20;96;2.9;2.79;.32;1.83;325;.8;339;625;2
1156;2.05;323;285;119;3.18;5.08;.47;1.87;6;.93;369;465;2
1242;4.43;273;265;102;2.2;2.13;.43;1.71;208;.92;312;365;2
1305;5.8;213;215;86;2.62;2.65;.3;2.01;26;.73;31;380;2
1187;4.31;239;21;82;2.86;3.03;.21;2.91;28;.75;364;380;2
1207;2.16;217;21;85;2.6;2.65;.37;1.35;276;.86;328;378;2
1243;1.53;229;215;86;2.74;3.15;.39;1.77;394;.69;284;352;2
1179;2.13;278;285;92;2.13;2.24;.58;1.76;3;.97;244;466;2
1237;1.63;23;245;88;2.22;2.45;.4;1.9;212;.89;278;342;2
1204;4.3;238;22;80;2.1;1.75;.42;1.35;26;.79;257;580;2
1286;1.35;232;18;122;1.51;1.25;.21;.94;41;.76;129;630;3
1288;2.99;24;20;104;1.3;1.22;.24;.83;54;.74;142;530;3
1281;2.31;24;24;98;1.15;1.09;.27;.83;57;.66;136;560;3
127;3.55;236;215;106;1.7;1.2;.17;.84;5;.78;129;600;3
1251;1.24;225;175;85;2;.58;.6;1.25;545;.75;151;650;3
126;2.46;22;185;94;1.62;.66;.63;.94;71;.73;158;695;3
1225;4.72;254;21;89;1.38;.47;.53;.8;385;.75;127;720;3
1253;5.51;264;25;96;1.79;.6;.63;1.1;5;.82;169;515;3
1349;3.59;219;195;88;1.62;.48;.58;.88;57;.81;182;580;3
1284;2.96;261;24;101;2.32;.6;.53;.81;492;.89;215;590;3
1293;2.81;27;21;96;1.54;.5;.53;.75;46;.77;231;600;3
1336;2.56;235;20;89;1.4;.5;.37;.64;56;.7;247;780;3
1352;3.17;272;235;97;1.55;.52;.5;.55;435;.89;206;520;3
1362;4.95;235;20;92;2;.8;.47;1.02;44;.91;205;550;3
1225;3.88;22;185;112;1.38;.78;.29;1.14;821;.65;2;855;3
1316;3.57;215;21;102;1.5;.55;.43;1.3;4;.6;168;830;3
1388;5.04;223;20;80;.98;.34;.4;.68;49;.58;133;415;3
1287;4.61;248;215;86;1.7;.65;.47;.86;765;.54;186;625;3
1332;3.24;238;215;92;1.93;.76;.45;1.25;842;.55;162;650;3
1308;3.9;236;215;113;1.41;1.39;.34;1.14;940;.57;133;550;3
135;3.12;262;24;123;1.4;1.57;.22;1.25;860;.59;13;500;3
1279;2.67;248;22;112;1.48;1.36;.24;1.26;108;.48;147;480;3
1311;1.9;275;255;116;2.2;1.28;.26;1.56;71;.61;133;425;3
1323;3.3;228;185;98;1.8;.83;.61;1.87;1052;.56;151;675;3
1258;1.29;21;20;103;1.48;.58;.53;1.4;76;.58;155;640;3
1317;5.19;232;22;93;1.74;.63;.61;1.55;79;.6;148;725;3
1384;4.12;238;195;89;1.8;.83;.48;1.56;901;.57;164;480;3
1245;3.03;264;27;97;1.9;.58;.63;1.14;75;.67;173;880;3
1434;1.68;27;25;98;2.8;1.31;.53;2.7;13;.57;196;660;3
1348;1.67;264;225;89;2.6;1.1;.52;2.29;1175;.57;178;620;3
1236;3.83;238;21;88;2.3;.92;.5;1.04;765;.56;158;520;3
1369;3.26;254;20;107;1.83;.56;.5;.8;588;.96;182;680;3
1285;3.27;258;22;106;1.65;.6;.6;.96;558;.87;211;570;3
1296;3.45;235;185;106;1.39;.7;.4;.94;528;.68;175;675;3
1378;2.76;23;22;90;1.35;.68;.41;1.03;958;.7;168;615;3
1373;4.36;226;225;88;1.28;.47;.52;1.15;662;.78;175;520;3
1345;3.7;26;23;111;1.7;.92;.43;1.46;1068;.85;156;695;3
1282;3.37;23;195;88;1.48;.66;.4;.97;1026;.72;175;685;3
1358;2.58;269;245;105;1.55;.84;.39;1.54;866;.74;18;750;3
134;4.6;286;25;112;1.98;.96;.27;1.11;85;.67;192;630;3
122;3.03;232;19;96;1.25;.49;.4;.73;55;.66;183;510;3
1277;2.39;228;195;86;1.39;.51;.48;.64;9899999;.57;163;470;3
1416;2.51;248;20;91;1.68;.7;.44;1.24;97;.62;171;660;3
1371;5.65;245;205;95;1.68;.61;.52;1.06;77;.64;174;740;3
134;3.91;248;23;102;1.8;.75;.43;1.41;73;.7;156;750;3
1327;4.28;226;20;120;1.59;.69;.43;1.35;102;.59;156;835;3
1317;2.59;237;20;120;1.65;.68;.53;1.46;93;.6;162;840;3
1413;4.1;274;245;96;2.05;.76;.56;1.35;92;.61;16;560;3
